Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
35.269753,0.0001424759,39.23415325758222,-77.9723960465429,0,1,6510.6694,-0.016560702,2,1,false,false,0.47831416,3.049034,8.143322,-3.1053293,-0.017734352,3
35.31988,0.00048621165,39.23414812321019,-77.97239766827751,0,1,6508.8843,-0.01568885,2,1,false,false,0.38250273,3.0289621,8.7687,-3.1056395,-0.02085738,3
35.367725,0.0008304309,39.23414289867464,-77.97239917407295,0,1,6512.583,-0.013945144,2,1,false,false,0.2754706,2.8298721,9.890722,-3.1059952,-0.02452827,3
35.411747,0.001175098,39.2341377643026,-77.97240079545409,0,1,6533.858,-0.012783423,2,1,false,false,0.16432983,2.64872,9.23945,-3.106378,-0.021976473,3
35.4563,0.0015201939,39.234132540316836,-77.97240230124953,0,1,6564.423,-0.013364283,2,1,false,false,0.24287665,2.7294118,9.748442,-3.1067033,-0.018554818,3
35.502064,0.0018657213,39.234127405944804,-77.97240380704496,0,1,6580.7773,-0.015688848,2,1,false,false,0.06181149,2.833805,9.371695,-3.1070025,-0.017910538,3
35.55217,0.0022117184,39.234122181409255,-77.9724054284261,0,1,6581.9277,-0.016270831,2,1,false,false,0.0030941665,3.1821399,8.9261675,-3.1073043,-0.018634247,3
35.60237,0.002558233,39.234116956873706,-77.97240693422154,0,1,6576.371,-0.018594274,2,1,false,false,-0.089636296,2.936208,7.9435973,-3.1076314,-0.019813862,3
35.6526,0.0029052116,39.234111822501674,-77.97240855595615,0,1,6581.5327,-0.020627847,2,1,false,false,-0.12004587,3.035594,8.698783,-3.1079571,-0.020531949,3
35.70139,0.0032526895,39.2341065985159,-77.97241006139812,0,1,6592.7104,-0.022951288,2,1,false,false,-0.28986186,2.9204056,9.893497,-3.1083195,-0.024118826,3
35.749683,0.0036006365,39.23410137398036,-77.97241168313273,0,1,6600.25,-0.02498599,2,1,false,false,-0.3809821,2.8783898,10.622987,-3.108725,-0.025010156,3
35.797485,0.00394908,39.23409614944481,-77.97241330451388,0,1,6607.2363,-0.027019558,2,1,false,false,-0.37831706,2.8961422,10.657835,-3.109156,-0.026823075,3
35.845676,0.004297985,39.23409092545904,-77.97241481030932,0,1,6617.2505,-0.02789141,2,1,false,false,-0.47271994,2.9189975,10.224985,-3.1096401,-0.030461535,3
35.894066,0.004647352,39.23408561075999,-77.97241643204393,0,1,6625.4985,-0.027310554,2,1,false,false,-0.65452015,2.95998,10.244439,-3.1101973,-0.03460023,3
35.943703,0.004997215,39.23408038622444,-77.97241805342507,0,1,6628.14,-0.027891405,2,1,false,false,-0.5946082,3.0299778,10.234731,-3.1107934,-0.035166316,3
35.99354,0.0053475574,39.234075162238675,-77.9724195592205,0,1,6627.9517,-0.02934412,2,1,false,false,-0.6982282,3.0623336,10.877468,-3.1114004,-0.036155436,3
36.042847,0.0056983787,39.234069847539615,-77.97242118095512,0,1,6629.247,-0.030505843,2,1,false,false,-0.8243127,2.978994,11.056221,-3.1120353,-0.038586363,3
36.09146,0.006049696,39.23406462300407,-77.97242280233627,0,1,6634.586,-0.03166756,2,1,false,false,-0.9352174,2.9716582,11.487388,-3.112715,-0.04105013,3
36.138874,0.0064014737,39.234059308854796,-77.97242442407088,0,1,6640.81,-0.03312027,2,1,false,false,-0.93624496,2.9105089,11.469542,-3.1134298,-0.042178225,3
