Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
34.407402,0.00059080264,39.23414280851113,-77.97237867263273,0,1,6332.502,0.021789573,2,1,false,false,0.7138765,3.0940106,9.88888,-3.1015604,0.014239461,3
34.456833,0.00092621363,39.2341377643026,-77.97238017842817,0,1,6344.5776,0.023243403,2,1,false,false,0.8747359,2.8400846,10.865932,-3.1012752,0.017691486,3
34.500652,0.0012620925,39.23413272009408,-77.9723816842236,0,1,6372.8286,0.022952408,2,1,false,false,0.7857876,2.634172,9.882543,-3.100931,0.022519104,3
34.54474,0.0015983853,39.23412767588555,-77.97238319001904,0,1,6405.562,0.021789564,2,1,false,false,0.83582354,2.6832662,9.484136,-3.1005218,0.02585593,3
34.591526,0.0019351044,39.234122631677025,-77.97238469581448,0,1,6424.8145,0.020046983,2,1,false,false,0.7640176,2.9543917,8.651535,-3.1000836,0.027182491,3
34.644505,0.0022723228,39.234117497304986,-77.97238608567073,0,1,6424.9634,0.017432548,2,1,false,false,0.7447378,3.290333,8.753886,-3.0996313,0.027507989,3
34.69664,0.0026100436,39.23411245309646,-77.97238759146617,0,1,6415.293,0.013655277,2,1,false,false,0.7280165,3.1499283,8.373711,-3.099201,0.023233246,3
34.748318,0.0029482676,39.23410740888793,-77.97238909690813,0,1,6419.5435,0.01074985,2,1,false,false,0.7480519,3.0914505,9.481124,-3.0988245,0.021602074,3
34.79897,0.0032869952,39.2341022745159,-77.97239060270357,0,1,6435.076,0.0116217015,2,1,false,false,0.8165404,2.9762232,10.621544,-3.0984714,0.020400273,3
34.84787,0.0036261694,39.234097140693635,-77.97239210849901,0,1,6445.895,0.009877998,2,1,false,false,0.7747898,2.9685628,10.432649,-3.0981262,0.02121392,3
34.89781,0.0039657573,39.23409209648511,-77.97239361429445,0,1,6452.521,0.005229992,2,1,false,false,0.7655768,3.0365856,10.723319,-3.0977838,0.020142106,3
34.948483,0.004305811,39.234086962113075,-77.9723950041507,0,1,6458.471,-0.0008718531,2,1,false,false,0.60234034,3.1017838,10.714639,-3.0974882,0.016859561,3
35.000298,0.0046463837,39.234081827741036,-77.97239650994614,0,1,6462.619,-0.007844423,2,1,false,false,0.6281596,3.18681,11.125433,-3.097258,0.01250119,3
35.05213,0.004987457,39.234076693369,-77.97239801574158,0,1,6462.068,-0.014816994,2,1,false,false,0.46839678,3.1618652,10.985355,-3.0971234,0.0058573736,3
35.10295,0.0053290124,39.234071558996966,-77.97239952153701,0,1,6461.1646,-0.021208711,2,1,false,false,0.39266038,3.1736488,11.336816,-3.0970988,-0.00072984165,3
35.154118,0.005671089,39.23406642462493,-77.97240102697897,0,1,6464.0254,-0.02876326,2,1,false,false,0.25703347,3.1417806,11.429798,-3.0971963,-0.008910902,3
35.203754,0.0060136463,39.23406129025289,-77.97240253277441,0,1,6466.199,-0.036026824,2,1,false,false,0.20932582,3.122301,11.361111,-3.0974169,-0.0157339,3
35.252213,0.0063566673,39.23405615588086,-77.97240392263066,0,1,6469.542,-0.04183656,2,1,false,false,-0.020243749,2.9208522,11.402319,-3.0977695,-0.024819497,3
35.298443,0.006700169,39.234050931895084,-77.9724054284261,0,1,6476.0386,-0.046485677,2,1,false,false,-0.13013771,2.8738575,10.540793,-3.0982378,-0.0299505,3
35.34358,0.0070440974,39.23404579752305,-77.97240693422154,0,1,6487.185,-0.04938998,2,1,false,false,-0.23278244,2.7441328,10.099433,-3.0987778,-0.0347151,3
35.38663,0.007388469,39.2340405729875,-77.97240844001698,0,1,6501.1123,-0.050843835,2,1,false,false,-0.20941077,2.6540434,8.733526,-3.099362,-0.036652826,3
35.42887,0.0077332496,39.234035438615464,-77.97240994581242,0,1,6518.7485,-0.05026297,2,1,false,false,-0.29571852,2.620696,8.577478,-3.099979,-0.0401068,3
35.470688,0.008078438,39.23403021407992,-77.97241145160785,0,1,6537.4263,-0.046485692,2,1,false,false,-0.39652485,2.5079584,9.009494,-3.1006637,-0.044465993,3
35.511383,0.008424035,39.23402499009415,-77.97241295704981,0,1,6560.2207,-0.041546687,2,1,false,false,-0.5175752,2.507026,9.66951,-3.1014123,-0.047123443,3
35.55227,0.0087700235,39.23401985572212,-77.97241446284525,0,1,6586.39,-0.036316693,2,1,false,false,-0.3910234,2.4862134,9.123393,-3.1021786,-0.045473315,3
35.594982,0.009116421,39.23401463118657,-77.97241608457986,0,1,6609.8726,-0.0313777,2,1,false,false,-0.41461432,2.7011452,9.036349,-3.102923,-0.044777036,3
35.641335,0.009463264,39.234009406651026,-77.9724175903753,0,1,6622.176,-0.024403997,2,1,false,false,-0.54476786,2.9622338,9.397415,-3.1036763,-0.044765513,3
35.691628,0.009810567,39.23400418266525,-77.97241909581726,0,1,6619.939,-0.015107991,2,1,false,false,-0.5236721,3.1111085,9.322061,-3.1044054,-0.04084438,3
35.743843,0.010158385,39.23399895812971,-77.9724206016127,0,1,6611.019,-0.008425286,2,1,false,false,-0.5783696,3.1629906,9.680223,-3.1050293,-0.033276856,3
35.794556,0.010506702,39.23399373359416,-77.97242210740814,0,1,6606.299,-0.002905426,2,1,false,false,-0.5075219,3.0952451,9.314809,-3.105531,-0.026814258,3
35.844345,0.010855498,39.233988509608395,-77.97242372914275,0,1,6609.936,0.0029054258,2,1,false,false,-0.505029,3.0302029,9.299329,-3.1059217,-0.020251649,3
35.89282,0.011204794,39.23398319490934,-77.97242523493819,0,1,6614.0728,0.0075545553,2,1,false,false,-0.47131962,2.906544,9.444454,-3.1061935,-0.012823377,3
