Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
34.87761,0.0003596404,39.23414695218412,-77.97238122082037,0,1,6439.5605,-0.010458857,2,1,false,false,-0.0064797252,3.1453927,8.372087,-3.1154053,-0.0046926104,3
34.928246,0.0006996795,39.23414181781209,-77.97238284255498,0,1,6439.2437,-0.012783422,2,1,false,false,-0.15482345,2.975992,10.333984,-3.115475,-0.0057833497,3
34.974915,0.0010401823,39.23413677360356,-77.97238434799694,0,1,6455.38,-0.015688848,2,1,false,false,-0.08983864,2.626321,10.112783,-3.1155648,-0.008006635,3
35.018456,0.0013811309,39.23413163923152,-77.97238596973156,0,1,6487.4355,-0.018884141,2,1,false,false,-0.16366473,2.6596901,9.741595,-3.1157196,-0.011259427,3
35.063133,0.0017224895,39.23412650485948,-77.97238759146617,0,1,6515.753,-0.02004699,2,1,false,false,-0.17384662,2.7380686,9.568417,-3.1159337,-0.01439683,3
35.111393,0.0020643051,39.234121460650954,-77.97238921284732,0,1,6526.238,-0.021499693,2,1,false,false,-0.14567824,3.061167,8.672129,-3.1162078,-0.01671931,3
35.164352,0.00240662,39.23411632627892,-77.97239071864276,0,1,6521.85,-0.022080556,2,1,false,false,-0.1913997,3.1284835,7.9489326,-3.1164947,-0.017664118,3
35.215206,0.0027494507,39.23411119245666,-77.97239234002389,0,1,6516.4985,-0.02208056,2,1,false,false,-0.21891433,3.0934079,8.169148,-3.116807,-0.019915637,3
35.265625,0.0030927628,39.23410605808463,-77.97239396175851,0,1,6527.169,-0.021499705,2,1,false,false,-0.25371966,3.0273197,9.883451,-3.117128,-0.01981808,3
35.315323,0.0034365554,39.23410083354908,-77.97239558313966,0,1,6541.4106,-0.021499699,2,1,false,false,-0.32470658,2.9174514,10.989458,-3.1174543,-0.020602452,3
35.36385,0.0037807822,39.23409569917704,-77.97239720487427,0,1,6548.749,-0.020917716,2,1,false,false,-0.3320576,2.9577458,10.479788,-3.1178176,-0.022820255,3
35.41319,0.004125455,39.23409056480501,-77.97239882625541,0,1,6555.8286,-0.020627847,2,1,false,false,-0.38786063,3.004115,10.713882,-3.1182253,-0.02513931,3
35.463272,0.0044706063,39.234085340819234,-77.97240044799003,0,1,6564.047,-0.020917716,2,1,false,false,-0.5345954,3.0640316,11.2697,-3.1186779,-0.02743919,3
35.51472,0.004816273,39.2340802064472,-77.97240206972464,0,1,6567.644,-0.02266142,2,1,false,false,-0.60570854,3.1717188,10.92524,-3.1191704,-0.02891666,3
35.5662,0.0051624198,39.234074981911654,-77.97240369110578,0,1,6564.2476,-0.02614771,2,1,false,false,-0.64536136,3.0928173,10.420637,-3.1196816,-0.030055063,3
35.617374,0.0055090813,39.234069847539615,-77.9724053128404,0,1,6563.2485,-0.03021598,2,1,false,false,-0.70704657,3.175152,11.111424,-3.1202137,-0.031824514,3
35.66845,0.005856258,39.23406462300407,-77.97240693422154,0,1,6566.5405,-0.03486398,2,1,false,false,-0.8741945,3.129147,11.501801,-3.1207907,-0.035389174,3
35.71877,0.006203913,39.23405939901831,-77.97240855595615,0,1,6567.154,-0.03980298,2,1,false,false,-1.0210888,3.007575,12.086526,-3.1214244,-0.039198548,3
35.7667,0.0065520457,39.23405426464627,-77.97241029327648,0,1,6569.1733,-0.045322835,2,1,false,false,-1.1394181,2.9967508,11.377294,-3.122139,-0.043994438,3
35.814198,0.0069006374,39.23404904011072,-77.97241191465761,0,1,6579.8184,-0.052586395,2,1,false,false,-0.98887336,2.9289865,10.366929,-3.122897,-0.045645043,3
35.859898,0.007249688,39.23404381557518,-77.97241353639224,0,1,6591.3657,-0.060140956,2,1,false,false,-1.0855333,2.8078926,9.739066,-3.1236875,-0.048777513,3
35.90448,0.007599179,39.23403859158941,-77.97241527371256,0,1,6601.4937,-0.06536984,2,1,false,false,-1.0946208,2.7644775,9.563599,-3.1245117,-0.051757067,3
35.94972,0.007949095,39.23403327689035,-77.97241689544717,0,1,6614.248,-0.070599824,2,1,false,false,-1.1932011,2.679262,9.845951,-3.1253884,-0.055784013,3
35.990253,0.008299452,39.23402805235481,-77.97241863276749,0,1,6630.7495,-0.07263453,2,1,false,false,-1.3603203,2.4495318,9.488638,-3.1263423,-0.061772894,3
36.030327,0.008650179,39.234022828369035,-77.97242025414863,0,1,6660.48,-0.07350525,2,1,false,false,-1.374927,2.483995,9.333013,-3.1274238,-0.068941094,3
36.070965,0.009001294,39.23401760383349,-77.97242199146895,0,1,6690.24,-0.07234241,2,1,false,false,-1.3808248,2.5331192,9.009347,-3.1286175,-0.07464799,3
36.11359,0.009352834,39.234012379297944,-77.97242372914275,0,1,6706.298,-0.068856105,2,1,false,false,-1.4606477,2.7294054,8.992822,-3.1299138,-0.0805183,3
36.16109,0.009704796,39.23400706514867,-77.97242546646306,0,1,6710.511,-0.06449909,2,1,false,false,-1.7000349,3.018277,9.87033,-3.1312983,-0.084004074,3
36.21066,0.010057234,39.234001840613125,-77.97242708784421,0,1,6707.294,-0.060431957,2,1,false,false,-1.6711044,3.0610166,9.304591,-3.1327043,-0.08387243,3
36.260326,0.0104101645,39.233996525914066,-77.97242882551801,0,1,6704.68,-0.057235543,2,1,false,false,-1.7584802,3.0502794,9.384799,-3.1340933,-0.08223077,3
36.30911,0.0107635725,39.2339913019283,-77.97243056283833,0,1,6705.641,-0.054039124,2,1,false,false,-1.8582046,2.9733312,9.02776,-3.1354446,-0.07979122,3
36.35693,0.011117439,39.23398598722924,-77.97243230015864,0,1,6709.205,-0.0511337,2,1,false,false,-1.9312652,2.9299486,9.505033,-3.1367314,-0.07569255,3
36.4038,0.01147178,39.23398067253019,-77.97243403747898,0,1,6713.022,-0.050552838,2,1,false,false,-1.9736087,2.7409503,9.425993,-3.1379437,-0.072930016,3
36.447582,0.011826542,39.23397535838091,-77.97243589073847,0,1,6722.2563,-0.049971975,2,1,false,false,-1.7271415,2.7119339,7.4703927,-3.139145,-0.0727933,3
36.490395,0.012181743,39.23397013384536,-77.9724376280588,0,1,6739.0405,-0.04881026,2,1,false,false,-1.4758617,2.463832,6.388605,-3.140244,-0.06376793,3
36.52915,0.012537312,39.233964819696084,-77.97243936537912,0,1,6759.7925,-0.04997196,2,1,false,false,-1.8737093,2.2975104,8.625675,-3.1411934,-0.060058724,3
36.56921,0.012893269,39.23395950499703,-77.97244121863861,0,1,6787.7505,-0.05258641,2,1,false,false,-1.9836905,2.462923,8.413102,3.141001,-0.06587602,3
36.609547,0.013249625,39.23395419029797,-77.9724429563124,0,1,6806.873,-0.05171567,2,1,false,false,-2.0748088,2.1425707,9.206084,3.1398888,-0.07413208,3
36.64552,0.013606334,39.233948876148695,-77.97244480921843,0,1,6829.6445,-0.04968211,2,1,false,false,-1.9066393,2.349641,8.852443,3.1385562,-0.08745908,3
36.692326,0.013963427,39.23394356144964,-77.97244654689223,0,1,6861.9077,-0.04212755,2,1,false,false,-2.2994275,3.228549,9.841107,3.136985,-0.09535866,3
36.74094,0.014321,39.233938247300365,-77.97244840015173,0,1,6852.1226,-0.030505847,2,1,false,false,-1.9083781,2.7349079,8.0421505,3.135387,-0.091704026,3
